Frequency (Hz)	Level (dB)
344.531250	-16.141502
689.062500	-17.254835
1033.593750	-24.828547
1378.125000	-32.825932
1722.656250	-41.542362
2067.187500	-46.368927
2411.718750	-46.910286
2756.250000	-49.475376
3100.781250	-52.993832
3445.312500	-57.047939
3789.843750	-62.517456
4134.375000	-66.748848
4478.906250	-69.983376
4823.437500	-72.173325
5167.968750	-73.421486
5512.500000	-74.596649
5857.031250	-74.634399
6201.562500	-77.854988
6546.093750	-80.199089
6890.625000	-80.635002
7235.156250	-80.957558
7579.687500	-81.346283
7924.218750	-81.575989
8268.750000	-81.773514
8613.281250	-81.962982
8957.812500	-82.140915
9302.343750	-82.433105
9646.875000	-82.874367
9991.406250	-83.382477
10335.937500	-83.855682
10680.468750	-85.129364
11025.000000	-90.946716
11369.531250	-106.928001
11714.062500	-114.851562
12058.593750	-116.060692
12403.125000	-116.855873
12747.656250	-118.234406
13092.187500	-117.333885
13436.718750	-118.698486
13781.250000	-120.580009
14125.781250	-119.601334
14470.312500	-120.267853
14814.843750	-121.264076
15159.375000	-122.065353
15503.906250	-123.077156
15848.437500	-122.089973
16192.968750	-124.374847
16537.500000	-126.635307
16882.031250	-128.382690
17226.562500	-124.869576
17571.093750	-126.263390
17915.625000	-129.556625
18260.156250	-127.810265
18604.687500	-125.986504
18949.218750	-125.171371
19293.750000	-130.265244
19638.281250	-127.255318
19982.812500	-126.407753
20327.343750	-131.984024
20671.875000	-134.229568
21016.406250	-129.840286
21360.937500	-128.205612
21705.468750	-129.985199
