Year,Europe,Asia,Africa,Oceania,Latin America,Northern America
1850,92.2,0.1,0.0,0.0,0.9,6.7
1860,92.0,0.9,0.0,0.1,0.9,6.0
1870,88.7,1.2,0.1,0.1,1.0,8.9
1880,86.0,1.6,0.1,0.1,1.3,10.7
1890,86.8,1.2,0.1,0.1,1.2,10.6
1900,85.9,1.2,0.1,0.1,1.3,11.4
1910,87.3,1.4,0.2,0.1,2.1,9.0
1920,85.4,1.7,0.4,0.1,4.2,8.2
1930,82.7,1.9,0.4,0.1,5.6,9.2
1940,83.7,2.0,0.4,0.1,4.4,9.3
1950,80.2,3.0,0.5,0.3,6.3,9.7
1960,74.7,5.1,0.6,0.4,9.4,9.8
1970,61.4,8.9,1.2,0.4,19.4,8.7
1980,39.0,19.3,1.5,0.6,33.1,6.5
1990,22.9,26.3,1.9,0.5,44.3,4.0
2000,15.8,26.4,2.8,0.5,51.7,2.7
*2010,12.1,28.5,4.0,0.6,52.8,2.1
